2036.68081183 1021.64653909
2216.05741578 1265.78335228
2375.23800712 1331.02046576
2589.41585123 1139.06723284
2773.476954 1097.30794685
2867.01709584 1437.45872018
3025.15121895 1211.59879034
3254.63459702 1000.42595128
3366.56375049 1408.56238794
3581.93990739 1266.08081561
3775.057896 1214.22136606
3892.06122838 1010.43647565
4109.12540033 1147.71264011
4271.82359213 1311.95391861
4436.54756234 1404.42263234
4609.21498427 1316.1795172
4812.54216951 1327.41990816
4975.78024726 1103.60508498
5140.72593877 1113.18870022
5246.70942799 1269.53046534
5400.55969843 1447.72374847
5618.33601397 1213.92825496
5793.14300363 1076.65995018
5977.85396182 1347.67896778
6085.231994 1268.04160927
6272.06349572 1493.80493763
6477.83598358 1296.21971273
6676.45512364 1079.22398083
6770.46092183 1338.02102472
6959.55414088 1003.97067135
